ulasan,label,pelayanan,fasilitas,wahana ,kuliner
"jalannya hancur<br> tidak bisa dilewati, tukang parkirnya juga tidak sopan macet juga",0,1,1,0,0
wahananya bagus keretanya juga menyenangkan,1,0,0,1,0
"makanan dan minumannya mahal dan tidak enak, dan juga jalannya hancur sehingga tidak bisa dilewati",0,0,1,0,1
"adminnya tidak ramah, tukang parkirnya juga tidak sopan",0,1,0,0,0
bagus juga untuk dibuat liburan untuk keluarga,1,0,0,0,0
"kolam sangat kotor, dan cafenya kurang banyak pilihan minuman dan makanannya",0,0,0,1,1
"atvnya rusak, toiletnya bau dan kotor",0,0,1,1,0
makanannya enak dan tempatnya menyenangkan untuk dikunjungi,1,0,0,0,1
kurang tempat berteduh dan cuacanya panas sekali,0,0,1,0,0
toiletnya bersih dan kolamnya juga bagus,1,0,1,1,0
